environment,backend,case,round,frames,frame_ms_median,frame_ms_p95,frame_ms_p99,frame_ms_max,halo_ms_median,halo_ms_p95,halo_ms_p99,halo_ms_max,allocated_bytes_median,allocated_bytes_p95,allocated_bytes_p99,allocated_bytes_max,submissions_median,submissions_p95,submissions_p99,submissions_max,uploaded_bytes_median,uploaded_bytes_p95,uploaded_bytes_p99,uploaded_bytes_max,warm_reentry_peak_ms
native,cached,5,2,9699,0.4816,0.69424,1.39833,2.7802,0.0833,0.12011,0.1679,0.6123,38760.0,38760.0,38760.0,38760.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.8313
native,compatibility,0,0,4790,0.9666,1.56126,2.30244,9.1243,0.45535,0.6011,0.69952,8.5102,1303440.0,1304360.0,1304360.0,1346264.0,1.0,1.0,1.0,1.0,61440.0,61440.0,61440.0,61440.0,2.5537
native,compatibility,0,1,5417,0.8711,1.24114,1.90444,8.1602,0.4254,0.56172,0.67398,7.6733,1303352.0,1303352.0,1303424.0,1303656.0,1.0,1.0,1.0,1.0,61440.0,61440.0,61440.0,61440.0,2.057
native,compatibility,0,2,5448,0.8735,1.1894,1.86617,8.4618,0.4262,0.54276,0.64322,8.0093,1303352.0,1303352.0,1303352.0,1303352.0,1.0,1.0,1.0,1.0,61440.0,61440.0,61440.0,61440.0,2.3608
native,compatibility,1,0,1589,3.0668,4.06584,4.64752,6.3312,2.3756,2.833,3.39155,4.9927,2567904.0,2567904.0,2593632.0,2649952.0,1.0,1.0,1.0,1.0,1474560.0,1474560.0,1474560.0,1474560.0,4.0829
native,compatibility,1,1,1598,3.0791,3.9038,4.53836,5.1967,2.4088,2.80591,3.08041,4.1533,2567904.0,2567904.0,2567904.0,2567904.0,1.0,1.0,1.0,1.0,1474560.0,1474560.0,1474560.0,1474560.0,4.8514
native,compatibility,1,2,1588,3.07675,4.02147,4.79412,10.9987,2.40735,2.77776,3.08651,4.4271,2567904.0,2567904.0,2567904.0,2567904.0,1.0,1.0,1.0,1.0,1474560.0,1474560.0,1474560.0,1474560.0,4.5941
native,compatibility,2,0,1319,3.7299,4.63181,5.15837,7.2516,3.0314,3.50726,3.80279,6.1214,2704064.0,2704064.0,2704064.0,2704064.0,160.0,160.0,160.0,160.0,1474560.0,1474560.0,1474560.0,1474560.0,4.5872
native,compatibility,2,1,1337,3.6795,4.5758,5.06878,6.331,3.0302,3.50134,3.8435,5.6961,2704064.0,2704064.0,2704064.0,2704064.0,160.0,160.0,160.0,160.0,1474560.0,1474560.0,1474560.0,1474560.0,5.8977
native,compatibility,2,2,1363,3.5999,4.57023,5.08523,6.0175,2.9774,3.46364,3.88083,4.4635,2704064.0,2704064.0,2704064.0,2704064.0,160.0,160.0,160.0,160.0,1474560.0,1474560.0,1474560.0,1474560.0,5.0212
native,compatibility,3,0,1912,2.54065,3.34254,4.08226,13.0743,1.91295,2.23995,2.45092,12.1876,2029144.0,2029144.0,2029144.0,2029144.0,1.0,1.0,1.0,1.0,1179648.0,1179648.0,1179648.0,1179648.0,4.1493
native,compatibility,3,1,2001,2.4352,3.2445,3.7567,5.225,1.8574,2.241,2.6216,3.4916,2029144.0,2029144.0,2029144.0,2029144.0,1.0,1.0,1.0,1.0,1179648.0,1179648.0,1179648.0,1179648.0,4.0875
native,compatibility,3,2,1997,2.4365,3.23942,3.7901,5.3546,1.852,2.1937,2.63502,4.7288,2029144.0,2029144.0,2029144.0,2029144.0,1.0,1.0,1.0,1.0,1179648.0,1179648.0,1179648.0,1179648.0,5.3192
native,compatibility,4,0,10089,0.4649,0.67952,1.21772,2.2927,0.0503,0.07936,0.1195,0.6458,69784.0,69784.0,69784.0,69784.0,1.0,1.0,1.0,1.0,3072.0,3072.0,3072.0,3072.0,1.6137
native,compatibility,4,1,10800,0.4311,0.6345,1.18302,3.9366,0.0495,0.0758,0.1166,1.4339,69784.0,69784.0,69784.0,69784.0,1.0,1.0,1.0,1.0,3072.0,3072.0,3072.0,3072.0,1.5
native,compatibility,4,2,10658,0.4373,0.6431,1.21661,3.628,0.0502,0.08101,0.11494,0.3352,69784.0,69784.0,69784.0,69784.0,1.0,1.0,1.0,1.0,3072.0,3072.0,3072.0,3072.0,1.4534
native,compatibility,5,0,8410,0.5584,0.80011,1.39879,2.4191,0.1377,0.1944,0.25329,1.6413,133120.0,133120.0,133120.0,133120.0,1.0,1.0,1.0,1.0,73728.0,73728.0,73728.0,73728.0,1.6503
native,compatibility,5,1,8684,0.54485,0.77114,1.39017,2.4875,0.141,0.19259,0.24965,1.9913,133120.0,133120.0,133120.0,133120.0,1.0,1.0,1.0,1.0,73728.0,73728.0,73728.0,73728.0,1.714
native,compatibility,5,2,8706,0.54265,0.7628,1.36561,2.6982,0.1408,0.1895,0.24498,1.4906,133120.0,133120.0,133120.0,133120.0,1.0,1.0,1.0,1.0,73728.0,73728.0,73728.0,73728.0,1.5181
pack,baseline,0,0,353,13.1996,21.70468,26.55971,37.652,8.0077,13.95304,20.95964,29.1518,2171192.0,2171192.0,2171920.0,2171920.0,640.0,640.0,640.0,640.0,61440.0,61440.0,61440.0,61440.0,17.3361
pack,baseline,0,1,340,13.3785,23.94771,33.26519,54.6701,8.32115,13.92572,21.82464,35.8066,2141752.0,2141752.0,2153440.0,2153880.0,640.0,640.0,640.0,640.0,61440.0,61440.0,61440.0,61440.0,25.1624
pack,baseline,0,2,382,12.52085,15.71277,29.60401,33.6761,7.8783,9.04825,20.18574,23.9885,2141224.0,2141752.0,2141752.0,2141752.0,640.0,640.0,640.0,640.0,61440.0,61440.0,61440.0,61440.0,25.5946
